table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,profile_tier,profile_mode,exact_distinct_count,approx_distinct_count,distinct_count_for_catalog,distinct_is_exact,distinct_rate,min_value,max_value,profile_seconds,profile_sql
main,hospital,GESTAO,VARCHAR,6873,0,0.0,small,exact,2,,2,True,0.000291,1,2,0.001,"SELECT COUNT(*) FILTER (WHERE ""GESTAO"" IS NULL) AS null_count, COUNT(DISTINCT ""GESTAO"") AS distinct_count, MIN(""GESTAO"") AS min_value, MAX(""GESTAO"") AS max_value FROM ""main"".""hospital"""
main,hospital,NAT_JUR,VARCHAR,6873,5575,0.811145,small,exact,25,,25,True,0.003637,,3999,0.001,"SELECT COUNT(*) FILTER (WHERE ""NAT_JUR"" IS NULL) AS null_count, COUNT(DISTINCT ""NAT_JUR"") AS distinct_count, MIN(""NAT_JUR"") AS min_value, MAX(""NAT_JUR"") AS max_value FROM ""main"".""hospital"""
main,instrucao,INSTRU,TINYINT,4,0,0.0,small,exact,4,,4,True,1.0,1,4,0.001,"SELECT COUNT(*) FILTER (WHERE ""INSTRU"" IS NULL) AS null_count, COUNT(DISTINCT ""INSTRU"") AS distinct_count, MIN(""INSTRU"") AS min_value, MAX(""INSTRU"") AS max_value FROM ""main"".""instrucao"""
main,instrucao,DESCRICAO,VARCHAR,4,0,0.0,small,exact,4,,4,True,1.0,1º grau,Analfabeto,0.0,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""instrucao"""
main,internacao_procedimento,id_atendimento,UBIGINT,187957888,0,0.0,large,exact,187957888,,187957888,True,1.0,0,187957887,3.546,"SELECT COUNT(*) FILTER (WHERE ""id_atendimento"" IS NULL) AS null_count, COUNT(DISTINCT ""id_atendimento"") AS distinct_count, MIN(""id_atendimento"") AS min_value, MAX(""id_atendimento"") AS max_value FROM ""main"".""internacao_procedimento"""
main,internacao_procedimento,N_AIH,BIGINT,187957888,0,0.0,large,exact,183877219,,183877219,True,0.978289,1107100903524,9923300006499,3.34,"SELECT COUNT(*) FILTER (WHERE ""N_AIH"" IS NULL) AS null_count, COUNT(DISTINCT ""N_AIH"") AS distinct_count, MIN(""N_AIH"") AS min_value, MAX(""N_AIH"") AS max_value FROM ""main"".""internacao_procedimento"""
main,internacao_procedimento,PROC_REA,BIGINT,187957888,0,0.0,large,exact,1930,,1930,True,1e-05,201010038,506020134,0.456,"SELECT COUNT(*) FILTER (WHERE ""PROC_REA"" IS NULL) AS null_count, COUNT(DISTINCT ""PROC_REA"") AS distinct_count, MIN(""PROC_REA"") AS min_value, MAX(""PROC_REA"") AS max_value FROM ""main"".""internacao_procedimento"""
main,internacoes,N_AIH,BIGINT,183877219,0,0.0,large,exact,183877219,,183877219,True,1.0,1107100903524,9923300006499,3.083,"SELECT COUNT(*) FILTER (WHERE ""N_AIH"" IS NULL) AS null_count, COUNT(DISTINCT ""N_AIH"") AS distinct_count, MIN(""N_AIH"") AS min_value, MAX(""N_AIH"") AS max_value FROM ""main"".""internacoes"""
main,internacoes,CNES,INTEGER,183877219,0,0.0,large,exact,6873,,6873,True,3.7e-05,27,9997784,0.593,"SELECT COUNT(*) FILTER (WHERE ""CNES"" IS NULL) AS null_count, COUNT(DISTINCT ""CNES"") AS distinct_count, MIN(""CNES"") AS min_value, MAX(""CNES"") AS max_value FROM ""main"".""internacoes"""
main,internacoes,DT_INTER,DATE,183877219,0,0.0,large,exact,6148,,6148,True,3.3e-05,2000-01-01,2023-12-31,0.433,"SELECT COUNT(*) FILTER (WHERE ""DT_INTER"" IS NULL) AS null_count, COUNT(DISTINCT ""DT_INTER"") AS distinct_count, MIN(""DT_INTER"") AS min_value, MAX(""DT_INTER"") AS max_value FROM ""main"".""internacoes"""
main,internacoes,DT_SAIDA,DATE,183877219,0,0.0,large,exact,5997,,5997,True,3.3e-05,2007-08-01,2023-12-31,0.435,"SELECT COUNT(*) FILTER (WHERE ""DT_SAIDA"" IS NULL) AS null_count, COUNT(DISTINCT ""DT_SAIDA"") AS distinct_count, MIN(""DT_SAIDA"") AS min_value, MAX(""DT_SAIDA"") AS max_value FROM ""main"".""internacoes"""
main,internacoes,MORTE,BOOLEAN,183877219,0,0.0,large,exact,2,,2,True,0.0,False,True,0.307,"SELECT COUNT(*) FILTER (WHERE ""MORTE"" IS NULL) AS null_count, COUNT(DISTINCT ""MORTE"") AS distinct_count, MIN(""MORTE"") AS min_value, MAX(""MORTE"") AS max_value FROM ""main"".""internacoes"""
main,internacoes,DIAG_PRINC,VARCHAR,183877219,0,0.0,large,exact,11830,,11830,True,6.4e-05,A00,Z999,0.537,"SELECT COUNT(*) FILTER (WHERE ""DIAG_PRINC"" IS NULL) AS null_count, COUNT(DISTINCT ""DIAG_PRINC"") AS distinct_count, MIN(""DIAG_PRINC"") AS min_value, MAX(""DIAG_PRINC"") AS max_value FROM ""main"".""internacoes"""
main,internacoes,VAL_TOT,DOUBLE,183877219,0,0.0,large,exact,4560227,,4560227,True,0.0248,0.0,546207.48,2.558,"SELECT COUNT(*) FILTER (WHERE ""VAL_TOT"" IS NULL) AS null_count, COUNT(DISTINCT ""VAL_TOT"") AS distinct_count, MIN(""VAL_TOT"") AS min_value, MAX(""VAL_TOT"") AS max_value FROM ""main"".""internacoes"""
main,internacoes,MUNIC_RES,INTEGER,183877219,0,0.0,large,exact,5588,,5588,True,3e-05,110001,530180,0.498,"SELECT COUNT(*) FILTER (WHERE ""MUNIC_RES"" IS NULL) AS null_count, COUNT(DISTINCT ""MUNIC_RES"") AS distinct_count, MIN(""MUNIC_RES"") AS min_value, MAX(""MUNIC_RES"") AS max_value FROM ""main"".""internacoes"""
main,marca_uti,MARCA_UTI,TINYINT,17,0,0.0,small,exact,17,,17,True,1.0,0,99,0.001,"SELECT COUNT(*) FILTER (WHERE ""MARCA_UTI"" IS NULL) AS null_count, COUNT(DISTINCT ""MARCA_UTI"") AS distinct_count, MIN(""MARCA_UTI"") AS min_value, MAX(""MARCA_UTI"") AS max_value FROM ""main"".""marca_uti"""
main,marca_uti,DESCRICAO,VARCHAR,17,0,0.0,small,exact,17,,17,True,1.0,Não utilizou UTI,Utilizou mais de um tipo de UTI,0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""marca_uti"""
main,municipios,CO_MUNICIPIO_6D,INTEGER,5589,0,0.0,small,exact,5589,,5589,True,1.0,110001,530010,0.001,"SELECT COUNT(*) FILTER (WHERE ""CO_MUNICIPIO_6D"" IS NULL) AS null_count, COUNT(DISTINCT ""CO_MUNICIPIO_6D"") AS distinct_count, MIN(""CO_MUNICIPIO_6D"") AS min_value, MAX(""CO_MUNICIPIO_6D"") AS max_value FROM ""main"".""municipios"""
main,municipios,CO_MUNICIPIO_7D,INTEGER,5589,18,0.003221,small,exact,5571,,5571,True,0.996779,1100015,5300108,0.001,"SELECT COUNT(*) FILTER (WHERE ""CO_MUNICIPIO_7D"" IS NULL) AS null_count, COUNT(DISTINCT ""CO_MUNICIPIO_7D"") AS distinct_count, MIN(""CO_MUNICIPIO_7D"") AS min_value, MAX(""CO_MUNICIPIO_7D"") AS max_value FROM ""main"".""municipios"""
main,municipios,NO_MUNICIPIO,VARCHAR,5589,0,0.0,small,exact,5315,,5315,True,0.950975,130002 Alvaraes,Óleo,0.001,"SELECT COUNT(*) FILTER (WHERE ""NO_MUNICIPIO"" IS NULL) AS null_count, COUNT(DISTINCT ""NO_MUNICIPIO"") AS distinct_count, MIN(""NO_MUNICIPIO"") AS min_value, MAX(""NO_MUNICIPIO"") AS max_value FROM ""main"".""municipios"""
main,municipios,SG_UF,VARCHAR,5589,0,0.0,small,exact,38,,38,True,0.006799,13,TO,0.001,"SELECT COUNT(*) FILTER (WHERE ""SG_UF"" IS NULL) AS null_count, COUNT(DISTINCT ""SG_UF"") AS distinct_count, MIN(""SG_UF"") AS min_value, MAX(""SG_UF"") AS max_value FROM ""main"".""municipios"""
main,municipios,NO_REGIAO_SAUDE,VARCHAR,5589,18,0.003221,small,exact,425,,425,True,0.076042,10ª RS Cascavel,Área Sudoeste,0.001,"SELECT COUNT(*) FILTER (WHERE ""NO_REGIAO_SAUDE"" IS NULL) AS null_count, COUNT(DISTINCT ""NO_REGIAO_SAUDE"") AS distinct_count, MIN(""NO_REGIAO_SAUDE"") AS min_value, MAX(""NO_REGIAO_SAUDE"") AS max_value FROM ""main"".""municipios"""
main,municipios,latitude,FLOAT,5589,19,0.0034,small,exact,5513,,5513,True,0.986402,-33.6593017578125,4.646299839019775,0.001,"SELECT COUNT(*) FILTER (WHERE ""latitude"" IS NULL) AS null_count, COUNT(DISTINCT ""latitude"") AS distinct_count, MIN(""latitude"") AS min_value, MAX(""latitude"") AS max_value FROM ""main"".""municipios"""
main,municipios,longitude,FLOAT,5589,19,0.0034,small,exact,5485,,5485,True,0.981392,-73.34529876708984,-32.42679977416992,0.001,"SELECT COUNT(*) FILTER (WHERE ""longitude"" IS NULL) AS null_count, COUNT(DISTINCT ""longitude"") AS distinct_count, MIN(""longitude"") AS min_value, MAX(""longitude"") AS max_value FROM ""main"".""municipios"""
main,nacionalidade,NACIONAL,SMALLINT,332,0,0.0,small,exact,332,,332,True,1.0,10,350,0.001,"SELECT COUNT(*) FILTER (WHERE ""NACIONAL"" IS NULL) AS null_count, COUNT(DISTINCT ""NACIONAL"") AS distinct_count, MIN(""NACIONAL"") AS min_value, MAX(""NACIONAL"") AS max_value FROM ""main"".""nacionalidade"""
main,nacionalidade,DESCRICAO,VARCHAR,332,0,0.0,small,exact,329,,329,True,0.990964,Abissinia,Zimbabwe,0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""nacionalidade"""
main,procedimentos,PROC_REA,BIGINT,5394,0,0.0,small,exact,5394,,5394,True,1.0,101010010,803010141,0.001,"SELECT COUNT(*) FILTER (WHERE ""PROC_REA"" IS NULL) AS null_count, COUNT(DISTINCT ""PROC_REA"") AS distinct_count, MIN(""PROC_REA"") AS min_value, MAX(""PROC_REA"") AS max_value FROM ""main"".""procedimentos"""
main,procedimentos,NOME_PROC,VARCHAR,5394,0,0.0,small,exact,5237,,5237,True,0.970894,".QUIMIOTERAPIA DE LEUCEMIA LINFOIDE/LINFOBLASTICA AGUDA, LEUCEMIA MIELOIDE AGUDA E LEUCEMIA PROMIELO",ZIPRASIDONA 80 MG (POR CAPSULA),0.002,"SELECT COUNT(*) FILTER (WHERE ""NOME_PROC"" IS NULL) AS null_count, COUNT(DISTINCT ""NOME_PROC"") AS distinct_count, MIN(""NOME_PROC"") AS min_value, MAX(""NOME_PROC"") AS max_value FROM ""main"".""procedimentos"""
main,raca_cor,RACA_COR,TINYINT,5,0,0.0,small,exact,5,,5,True,1.0,1,5,0.001,"SELECT COUNT(*) FILTER (WHERE ""RACA_COR"" IS NULL) AS null_count, COUNT(DISTINCT ""RACA_COR"") AS distinct_count, MIN(""RACA_COR"") AS min_value, MAX(""RACA_COR"") AS max_value FROM ""main"".""raca_cor"""
main,raca_cor,DESCRICAO,VARCHAR,5,0,0.0,small,exact,5,,5,True,1.0,Amarela,Preta,0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""raca_cor"""
main,sexo,SEXO,TINYINT,3,0,0.0,small,exact,3,,3,True,1.0,1,3,0.001,"SELECT COUNT(*) FILTER (WHERE ""SEXO"" IS NULL) AS null_count, COUNT(DISTINCT ""SEXO"") AS distinct_count, MIN(""SEXO"") AS min_value, MAX(""SEXO"") AS max_value FROM ""main"".""sexo"""
main,sexo,DESCRICAO,VARCHAR,3,0,0.0,small,exact,2,,2,True,0.666667,Feminino,Masculino,0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""sexo"""
main,socioeconomico,CO_MUNICIPIO_6D,INTEGER,72395,0,0.0,small,exact,5570,,5570,True,0.076939,110001,530010,0.003,"SELECT COUNT(*) FILTER (WHERE ""CO_MUNICIPIO_6D"" IS NULL) AS null_count, COUNT(DISTINCT ""CO_MUNICIPIO_6D"") AS distinct_count, MIN(""CO_MUNICIPIO_6D"") AS min_value, MAX(""CO_MUNICIPIO_6D"") AS max_value FROM ""main"".""socioeconomico"""
