table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,approx_distinct,approx_distinct_rate,min_value,max_value,profile_seconds
main,stg_internacoes,DIAGSEC6,VARCHAR,183877219,183828213,0.999733,3364,1.8e-05,A029,Z992,65.208
main,stg_internacoes,DIAGSEC7,VARCHAR,183877219,183859484,0.999904,1634,9e-06,A047,Z999,65.208
main,stg_internacoes,DIAGSEC8,VARCHAR,183877219,183877219,1.0,0,0.0,,,65.208
main,stg_internacoes,DIAGSEC9,VARCHAR,183877219,183877219,1.0,0,0.0,,,65.208
main,stg_internacoes,VAL_SH,DOUBLE,183877219,0,0.0,2020322,0.010987,0.0,450734.6699999999,65.208
main,stg_internacoes,VAL_SP,DOUBLE,183877219,0,0.0,601585,0.003272,0.0,72642.67,65.208
main,stg_internacoes,VAL_UTI,DOUBLE,183877219,0,0.0,42144,0.000229,0.0,272000.0,65.208
main,stg_internacoes,VAL_TOT,DOUBLE,183877219,0,0.0,4487654,0.024406,0.0,546207.48,65.208
main,stg_internacoes,NASC,DATE,183877219,0,0.0,40851,0.000222,1887-10-10,2023-12-31,65.208
main,stg_internacoes,IDADE,SMALLINT,183877219,0,0.0,83,0.0,0,99,65.208
main,stg_internacoes,SEXO,TINYINT,183877219,0,0.0,2,0.0,1,3,65.208
main,stg_internacoes,RACA_COR,TINYINT,183877219,0,0.0,6,0.0,0,5,65.208
main,stg_internacoes,ETNIA,SMALLINT,183877219,0,0.0,292,2e-06,0,264,65.208
main,stg_internacoes,NACIONAL,SMALLINT,183877219,0,0.0,342,2e-06,0,350,65.208
main,stg_internacoes,INSTRU,TINYINT,183877219,0,0.0,10,0.0,0,9,65.208
main,stg_internacoes,VINCPREV,TINYINT,183877219,0,0.0,7,0.0,0,6,65.208
main,stg_internacoes,CBOR,VARCHAR,183877219,0,0.0,593,3e-06,000000,992225,65.208
main,stg_internacoes,MUNIC_RES,INTEGER,183877219,0,0.0,6496,3.5e-05,110001,530010,65.208
main,stg_internacoes,CEP,VARCHAR,183877219,0,0.0,1331685,0.007242,00411330,99990971,65.208
main,stg_internacoes,NUM_FILHOS,TINYINT,183877219,0,0.0,65,0.0,0,99,65.208
main,stg_internacoes,CONTRACEP1,TINYINT,183877219,0,0.0,14,0.0,0,12,65.208
main,stg_internacoes,CONTRACEP2,TINYINT,183877219,0,0.0,14,0.0,0,12,65.208
main,stg_internacoes,INSC_PN,VARCHAR,183877219,177570786,0.965703,4033411,0.021935,-1838225210,999999999999,65.208
main,stg_sexo,SEXO,TINYINT,2,0,0.0,2,1.0,1,3,0.009
main,stg_sexo,DESCRICAO,VARCHAR,2,0,0.0,2,1.0,Feminino,Masculino,0.009
main,tempo,data,DATE,6210,0,0.0,6069,0.977295,2008-01-01,2024-12-31,0.004
main,tempo,ano,SMALLINT,6210,0,0.0,20,0.003221,2008,2024,0.004
main,tempo,mes,TINYINT,6210,0,0.0,13,0.002093,1,12,0.004
main,tempo,trimestre,TINYINT,6210,0,0.0,4,0.000644,1,4,0.004
main,tempo,dia_semana,TINYINT,6210,0,0.0,7,0.001127,1,7,0.004
main,vincprev,VINCPREV,TINYINT,6,0,0.0,6,1.0,1,6,0.001
main,vincprev,DESCRICAO,VARCHAR,6,0,0.0,6,1.0,Aposentado,Não segurado,0.001
