schema_name,table_name,has_primary_key,estimated_size,column_count,index_count,check_constraint_count,sql
main_dbt_test__audit,dbt_utils_source_accepted_rang_92c019c1ee7790db14579fbb9093e5ec,False,1,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_92c019c1ee7790db14579fbb9093e5ec(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_c2d40d6e54bd30fc3d6952faf9b46e1e,False,366,5,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_c2d40d6e54bd30fc3d6952faf9b46e1e(""data"" DATE, ano SMALLINT, mes TINYINT, trimestre TINYINT, dia_semana TINYINT);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_c4b4734e30bb150d860146005c9ac02b,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_c4b4734e30bb150d860146005c9ac02b(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_c6958574dbb3d45d1d2b833f5085e83d,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_c6958574dbb3d45d1d2b833f5085e83d(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_cff276ae6c287df74a945008a6836741,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_cff276ae6c287df74a945008a6836741(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_d8dbd07a1add6fa4a10c4e2a59a5265a,False,0,2,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_d8dbd07a1add6fa4a10c4e2a59a5265a(NACIONAL SMALLINT, DESCRICAO VARCHAR);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_e29b252a2897cb3cea258a2ea4e8cb7f,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_e29b252a2897cb3cea258a2ea4e8cb7f(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_ed47cb877c740a6929e10d626e4263e4,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_ed47cb877c740a6929e10d626e4263e4(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_f23e37c5d4fdb7ffbad61bd94cc048cc,False,0,46,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_f23e37c5d4fdb7ffbad61bd94cc048cc(N_AIH BIGINT, CNES INTEGER, DT_INTER DATE, DT_SAIDA DATE, DIAS_PERM SMALLINT, DIAR_ACOM SMALLINT, CAR_INT TINYINT, ESPEC TINYINT, COMPLEX VARCHAR, MARCA_UTI TINYINT, UTI_INT_TO TINYINT, IND_VDRL BOOLEAN, MORTE BOOLEAN, GESTRISCO BOOLEAN, DIAG_PRINC VARCHAR, DIAG_SECUN VARCHAR, CID_MORTE VARCHAR, CID_NOTIF VARCHAR, DIAGSEC1 VARCHAR, DIAGSEC2 VARCHAR, DIAGSEC3 VARCHAR, DIAGSEC4 VARCHAR, DIAGSEC5 VARCHAR, DIAGSEC6 VARCHAR, DIAGSEC7 VARCHAR, DIAGSEC8 VARCHAR, DIAGSEC9 VARCHAR, VAL_SH DOUBLE, VAL_SP DOUBLE, VAL_UTI DOUBLE, VAL_TOT DOUBLE, NASC DATE, IDADE SMALLINT, SEXO TINYINT, RACA_COR TINYINT, ETNIA SMALLINT, NACIONAL SMALLINT, INSTRU TINYINT, VINCPREV TINYINT, CBOR VARCHAR, MUNIC_RES INTEGER, CEP VARCHAR, NUM_FILHOS TINYINT, CONTRACEP1 TINYINT, CONTRACEP2 TINYINT, INSC_PN VARCHAR);"
main_dbt_test__audit,dbt_utils_source_accepted_range_main_etnia_ETNIA__266__0,False,0,2,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_range_main_etnia_ETNIA__266__0(ETNIA SMALLINT, DESCRICAO VARCHAR);"
